imdb_id,actors,country,director,dvd,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,runtime,title,tomato_consensus,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,writer,year,budget,genres,homepage,tmdb_id,overview,tmdb_popularity,revenue,tagline,tmdb_vote_average,tmdb_vote_count,wiki_page
tt0458339,"Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones",USA,Joe Johnston,25 Oct 2011,6.9,"502,898","English, Norwegian, French",66,"Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",http://ia.media-imdb.com/images/M/MV5BMTYzOTc2NzU3N15BMl5BanBnXkFtZTcwNjY3MDE3NQ@@._V1_SX300.jpg,Paramount Pictures,PG-13,22 Jul 2011,124 min,Captain America: The First Avenger,"With plenty of pulpy action, a pleasantly retro vibe, and a handful of fine performances, Captain America is solidly old-fashioned blockbuster entertainment.",certified,80,6.9,244,50,74,3.7,182998,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (comic books), Jack Kirby (comic books)",2011,140000000,"[Action, Adventure, Science Fiction]",http://captainamerica.marvel.com/,1771,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",4.873485,370569774,When patriots become heroes,6.4,4673,Captain America: The First Avenger
tt0800369,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",USA,Kenneth Branagh,13 Sep 2011,7.0,"534,294",English,57,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",http://ia.media-imdb.com/images/M/MV5BMTYxMjA5NDMzNV5BMl5BanBnXkFtZTcwOTk2Mjk3NA@@._V1_SX300.jpg,Paramount Pictures,PG-13,06 May 2011,115 min,Thor,"A dazzling blockbuster that tempers its sweeping scope with wit, humor, and human drama, Thor is mighty Marvel entertainment.",certified,77,6.7,266,62,76,3.8,242186,"Ashley Miller (screenplay), Zack Stentz (screenplay), Don Payne (screenplay), J. Michael Straczynski (story), Mark Protosevich (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)",2011,150000000,"[Adventure, Fantasy, Action]",http://thor.marvel.com/,10195,"Against his father Odin's will, The Mighty Thor -a powerful but arrogant warrior god -recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",3.838337,444115007,Two worlds. One hero.,6.5,4162,Thor (film)
tt1270798,"James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner","USA, UK",Matthew Vaughn,09 Sep 2011,7.8,"514,296","English, German, French, Spanish, Russian",65,"In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.",http://ia.media-imdb.com/images/M/MV5BMTg5OTMxNzk4Nl5BMl5BanBnXkFtZTcwOTk1MjAwNQ@@._V1_SX300.jpg,20th Century Fox,PG-13,03 Jun 2011,132 min,X-Men: First Class,"With a strong script, stylish direction, and powerful performances from its well-rounded cast, X-Men: First Class is a welcome return to form for the franchise.",certified,87,7.4,272,37,87,4.0,181733,"Ashley Miller (screenplay), Zack Stentz (screenplay), Jane Goldman (screenplay), Matthew Vaughn (screenplay), Sheldon Turner (story), Bryan Singer (story)",2011,160000000,"[Action, Science Fiction, Adventure]",http://www.x-menfirstclassmovie.com/,49538,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",0.09707,344420111,Witness the moment that will change our world.,7.0,3411,X-Men: First Class
tt1201607,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","USA, UK",David Yates,11 Nov 2011,8.1,"540,933",English,87,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",http://ia.media-imdb.com/images/M/MV5BMTY2MTk3MDQ1N15BMl5BanBnXkFtZTcwMzI4NzA2NQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,15 Jul 2011,130 min,Harry Potter and the Deathly Hallows: Part 2,"Thrilling, powerfully acted, and visually dazzling, Deathly Hallows Part II brings the Harry Potter franchise to a satisfying -- and suitably magical -- conclusion.",certified,96,8.3,309,13,89,4.3,387341,"Steve Kloves (screenplay), J.K. Rowling (novel)",2011,125000000,"[Adventure, Family, Fantasy]",http://www.harrypotter.com,12445,"In the second installment of the two-part conclusion, Harry and his best friends, Ron and Hermione, continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",3.060028,1327817822,It all ends here.,7.6,3295,Harry Potter and the Deathly Hallows – Part 2
tt1298650,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane","USA, UK",Rob Marshall,18 Oct 2011,6.7,"370,000","English, Spanish",45,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",http://ia.media-imdb.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,20 May 2011,136 min,Pirates of the Caribbean: On Stranger Tides,"It's shorter and leaner than the previous sequel, but this Pirates runs aground on a disjointed plot and a non-stop barrage of noisy action sequences.",rotten,32,5.0,259,175,54,3.5,197939,"Ted Elliott (screenplay), Terry Rossio (screenplay), Ted Elliott (screen story), Terry Rossio (screen story), Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters), Tim Powers (novel)",2011,250000000,"[Adventure, Action, Fantasy]",http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2.278264,1021683000,Live Forever Or Die Trying.,6.3,2915,Pirates of the Caribbean: On Stranger Tides
tt1229238,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner","USA, United Arab Emirates, Czech Republic",Brad Bird,17 Apr 2012,7.4,"364,202","English, Russian, French, Arabic, Swedish",73,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",http://ia.media-imdb.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX300.jpg,Paramount Studios,PG-13,21 Dec 2011,133 min,Mission: Impossible - Ghost Protocol,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.",certified,94,7.7,231,15,76,3.9,471571,"Bruce Geller (television series ""Mission: Impossible""), Josh Appelbaum, André Nemec",2011,145000000,"[Action, Thriller, Adventure]",http://www.missionimpossible.com/,56292,"In the 4th installment of the Mission Impossible series, Ethan Hunt (Cruise) and his team are racing against time to track down a dangerous terrorist named Hendricks (Nyqvist), who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",3.892326,694713380,No Plan. No Backup. No Choice.,6.7,2817,Mission: Impossible (film series)
tt1675434,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",France,"Olivier Nakache, Eric Toledano",05 Mar 2013,8.6,"497,387","French, English",57,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",http://ia.media-imdb.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX300.jpg,The Weinstein Company,R,02 Nov 2011,112 min,The Intouchables,"It handles its potentially prickly subject matter with kid gloves, but Intouchables gets by thanks to its strong cast and some remarkably sensitive direction.",certified,74,6.7,120,31,93,4.3,44155,"Olivier Nakache, Eric Toledano",2011,13000000,"[Drama, Comedy]",,77338,A true story of two men who should never have met - a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,3.95129,426480871,Sometimes you have to reach into someone else's world to find out what's missing in your own.,8.1,2667,The Intouchables
tt1515091,"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams",USA,Guy Ritchie,12 Jun 2012,7.5,"337,871","English, French, Italian, German, Romany",48,"Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.",http://ia.media-imdb.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,16 Dec 2011,129 min,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows is a good yarn thanks to its well-matched leading men but overall stumbles duplicating the well-oiled thrills of the original.,fresh,60,6.0,205,83,77,3.9,167451,"Michele Mulroney, Kieran Mulroney, Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)",2011,125000000,"[Adventure, Action, Crime, Mystery]",http://sherlockholmes2.warnerbros.com/index.html,58574,"There is a new criminal mastermind at large--Professor Moriarty--and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",1.851373,334615000,The Game is Afoot.,6.9,2503,Sherlock Holmes: A Game of Shadows
tt1411697,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",USA,Todd Phillips,06 Dec 2011,6.5,"375,265","English, Thai",44,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",http://ia.media-imdb.com/images/M/MV5BMTM2MTM4MzY2OV5BMl5BanBnXkFtZTcwNjQ3NzI4NA@@._V1_SX300.jpg,Warner Bros. Pictures,R,26 May 2011,102 min,The Hangover Part II,"A crueler, darker, raunchier carbon copy of the first installment, The Hangover Part II lacks the element of surprise -- and most of the joy -- that helped make the original a hit.",rotten,33,4.9,233,155,52,3.4,195478,"Craig Mazin, Scot Armstrong, Todd Phillips, Jon Lucas (characters), Scott Moore (characters)",2011,80000000,[Comedy],http://hangoverpart2.warnerbros.com/,45243,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",1.910616,254455986,The Wolfpack Is Back,6.0,2388,The Hangover Part II
tt1318514,"Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings",USA,Rupert Wyatt,13 Dec 2011,7.6,"399,342","English, Sign Languages",68,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",http://ia.media-imdb.com/images/M/MV5BMTQyMjUxNTc0Ml5BMl5BanBnXkFtZTcwMjg1ODExNg@@._V1_SX300.jpg,20th Century Fox,PG-13,05 Aug 2011,105 min,Rise of the Planet of the Apes,"Led by Rupert Wyatt's stylish direction, some impressive special effects, and a mesmerizing performance by Andy Serkis, Rise of the Planet of the Apes breathes unlikely new life into a long-running franchise.",certified,82,7.1,250,46,77,4.0,446783,"Rick Jaffa, Amanda Silver, Pierre Boulle (novel)",2011,93000000,"[Thriller, Action, Drama, Science Fiction]",http://www.apeswillrise.com/,61791,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father Charles. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects... Especially Caesar, his pet chimpanzee.",2.598361,482860185,Evolution Becomes Revolution.,6.9,2360,Rise of the Planet of the Apes
