imdb_id,actors,country,director,dvd,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,runtime,title,tomato_consensus,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,writer,year,budget,genres,homepage,tmdb_id,overview,tmdb_popularity,revenue,tagline,tmdb_vote_average,tmdb_vote_count,wiki_page
tt1375666,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","USA, UK",Christopher Nolan,07 Dec 2010,8.8,"1,462,859","English, Japanese, French",74,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,16 Jul 2010,148 min,Inception,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.",certified,86,8.1,331,46,91,4.2,564497,Christopher Nolan,2010,160000000,"[Action, Thriller, Science Fiction, Mystery, Adventure]",http://inceptionmovie.warnerbros.com/,27205,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",4.477878,825500000,Your mind is the scene of the crime.,7.9,8904,Inception
tt1228705,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",USA,Jon Favreau,28 Sep 2010,7.0,"521,017","English, French, Russian",57,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",http://ia.media-imdb.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_SX300.jpg,Paramount Studios,PG-13,07 May 2010,124 min,Iron Man 2,"It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot.",certified,72,6.5,276,76,72,3.7,475557,"Justin Theroux (screenplay), Stan Lee (Marvel comic book), Don Heck (Marvel comic book), Larry Lieber (Marvel comic book), Jack Kirby (Marvel comic book)",2010,200000000,"[Adventure, Action, Science Fiction]",http://www.ironmanmovie.com/,10138,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.",3.953742,623933331,"It's not the armor that makes the hero, but the man inside.",6.6,4587,Iron Man 2
tt1323594,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews","USA, France","Pierre Coffin, Chris Renaud",14 Dec 2010,7.7,"384,668",English,72,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",http://ia.media-imdb.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,Universal Pictures,PG,09 Jul 2010,95 min,Despicable Me,"Borrowing heavily (and intelligently) from Pixar and Looney Tunes, Despicable Me is a surprisingly thoughtful, family-friendly treat with a few surprises of its own.",certified,81,6.8,192,37,82,4.0,265592,"Cinco Paul (screenplay), Ken Daurio (screenplay), Sergio Pablos (story)",2010,69000000,"[Action, Animation, Family]",http://www.despicable.me/,20352,"In a happy suburban neighbourhood surrounded by white picket fences with flowering rose bushes, sits a black house with a dead lawn. Unbeknownst to the neighbours, hidden deep beneath this home is a vast secret hideout. Surrounded by an army of tireless, little yellow minions, we discover Gru, planning the biggest heist in the history of the world. He is going to steal the moon (Yes, the moon!) to prove to his Mum that he is better than the other super-villains, especially the new kid on the block, Vector. Gru delights in all things wicked. Armed with his arsenal of shrink rays, freeze guns and battle-ready vehicles for land and air, he vanquishes all who stand in his way. Until the day he encounters the immense will of three little orphaned girls who look at him and see something that no one else has ever seen: a potential dad.",2.782854,543513985,Superbad. Superdad.,7.1,4585,Despicable Me
tt1130884,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",USA,Martin Scorsese,08 Jun 2010,8.1,"783,045","English, German",63,A U.S Marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.,http://ia.media-imdb.com/images/M/MV5BMTMxMTIyNzMxMV5BMl5BanBnXkFtZTcwOTc4OTI3Mg@@._V1_SX300.jpg,Paramount Studios,R,19 Feb 2010,138 min,Shutter Island,"It may not rank with Scorsese's best work, but Shutter Island's gleefully unapologetic genre thrills represent the director at his most unrestrained.",fresh,68,6.6,241,76,76,3.3,2371555,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",2010,80000000,"[Drama, Thriller, Mystery]",http://www.shutterisland.com/,11324,"World War II soldier-turned-U.S. marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his own troubling visions and by Dr. Cawley.",3.059417,294804195,Someone is missing.,7.5,3119,Shutter Island (film)
tt0926084,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling","UK, USA",David Yates,15 Apr 2011,7.7,"327,090",English,65,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",http://ia.media-imdb.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,19 Nov 2010,146 min,Harry Potter and the Deathly Hallows: Part 1,"It can't help but feel like the prelude it is, but Deathly Hallows: Part I is a beautifully filmed, emotionally satisfying penultimate installment for the Harry Potter series.",certified,78,7.1,260,57,85,4.1,348855,"Steve Kloves (screenplay), J.K. Rowling (novel)",2010,250000000,"[Adventure, Fantasy, Family]",http://www.harrypotter.com,12444,"The end begins as Harry, Ron, and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",2.842138,954305868,One Way… One Fate… One Hero.,7.3,3050,Harry Potter and the Deathly Hallows – Part 1
tt0892769,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",USA,"Dean DeBlois, Chris Sanders",15 Oct 2010,8.2,"484,361",English,74,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",http://ia.media-imdb.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,Paramount/DWA,PG,26 Mar 2010,98 min,How to Train Your Dragon,"Boasting dazzling animation, a script with surprising dramatic depth, and thrilling 3-D sequences, How to Train Your Dragon soars.",certified,98,7.9,201,4,91,4.2,309729,"William Davies (screenplay), Dean DeBlois (screenplay), Chris Sanders (screenplay), Cressida Cowell (book)",2010,165000000,"[Fantasy, Adventure, Animation, Family]",http://www.howtotrainyourdragon.com/,10191,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father",2.045946,494878759,One adventure will change two worlds,7.4,2735,How to Train Your Dragon (film)
tt1250777,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss","UK, USA",Matthew Vaughn,03 Aug 2010,7.7,"435,003",English,66,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",http://ia.media-imdb.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_SX300.jpg,Lionsgate,R,16 Apr 2010,117 min,Kick-Ass,"Not for the faint of heart, Kick-Ass takes the comic adaptation genre to new levels of visual style, bloody violence, and gleeful profanity.",certified,76,7.1,245,59,81,3.9,284138,"Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",2010,28000000,"[Action, Crime]",,23483,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",2.786585,96188903,Shut up. Kick ass.,7.0,2704,Kick-Ass 2 (film)
tt0435761,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",USA,Lee Unkrich,02 Nov 2010,8.3,"543,855","English, Spanish",92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",http://ia.media-imdb.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,Walt Disney Pictures,G,18 Jun 2010,103 min,Toy Story 3,"Deftly blending comedy, adventure, and honest emotion, Toy Story 3 is a rare second sequel that really works.",certified,99,8.9,290,4,89,4.3,603568,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay)",2010,200000000,"[Animation, Family, Comedy]",http://disney.go.com/toystory/,10193,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2.479832,1063171911,No toy gets left behind.,7.5,2668,Toy Story 3
tt1014759,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",USA,Tim Burton,01 Jun 2010,6.5,"305,523",English,53,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",http://ia.media-imdb.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX300.jpg,Walt Disney Pictures,PG,05 Mar 2010,108 min,Alice in Wonderland,Tim Burton's Alice sacrifices the book's minimal narrative coherence -- and much of its heart -- but it's an undeniable visual treat.,rotten,52,5.7,262,127,55,3.5,479204,"Linda Woolverton (screenplay), Lewis Carroll (books)",2010,200000000,"[Family, Fantasy, Adventure]",http://disney.go.com/wonderland/,12155,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason--to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",2.389247,1025467110,You're invited to a very important date.,6.2,2480,Alice in Wonderland (2010 film)
tt0947798,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",USA,Darren Aronofsky,29 Mar 2011,8.0,"550,547","English, French, Italian",79,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",http://ia.media-imdb.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,Fox Searchlight,R,17 Dec 2010,108 min,Black Swan,"Bracingly intense, passionate, and wildly melodramatic, Black Swan glides on Darren Aronofsky's bold direction -- and a bravura performance from Natalie Portman.",certified,86,8.2,275,37,84,4.0,175779,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",2010,13000000,"[Drama, Mystery, Thriller]",http://www.foxsearchlight.com/blackswan/,44214,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",3.072045,327803731,"In the era of personal branding, the scariest possibility is that someone might be better at being you than you are.",7.0,2261,Black Swan (film)
