imdb_id,wiki_page
tt0848228,List of accolades received by The Avengers (2012 film)
tt1853728,Django Unchained
tt1392170,The Hunger Games (film series)
tt1345836,The Dark Knight Rises
tt0903624,The Hobbit: An Unexpected Journey
tt1074638,Skyfall
tt0948470,The Amazing Spider-Man
tt0454876,Life of Pi (film)
tt1446714,Prometheus (2012 film)
tt1772341,Wreck-It Ralph
tt1276104,Looper (film)
tt1045658,Silver Linings Playbook
tt1217209,Brave
tt1637725,Ted
tt1409024,Men in Black 3
tt1232829,21 Jump Street (film)
tt1024648,Argo
tt1764651,The Expendables 2
tt0790724,Jack Reacher (film)
tt1371111,Cloud Atlas (film)
tt1735898,Snow White and the Huntsman
tt1194173,The Bourne Legacy (film)
tt1397280,Taken 2
tt1667889,Ice Age: Continental Drift
tt1386703,Total Recall (2012 film)
tt1907668,Flight
tt0837562,Hotel Transylvania
tt1673434,The Twilight Saga (film series)
tt1659337,The Perks of Being a Wallflower (film)
tt1440129,Battleship
tt1981677,Pitch Perfect
tt0401729,John Carter (film)
tt1496025,Underworld: Awakening
tt1259521,The Cabin in the Woods
tt1077368,Dark Shadows (film)
tt1343727,Dredd
tt1277953,Madagascar 3: Europe's Most Wanted
tt1790885,Zero Dark Thirty
tt1649419,The Impossible Dream
