imdb_id,wiki_page
tt0816692,Interstellar
tt2015381,Guardians of the Galaxy (film)
tt2245084,Big Hero 6 (film)
tt1877832,X-Men: Days of Future Past
tt1843866,Captain America: The Winter Soldier
tt2802144,Kingsman: The Secret Service
tt2872732,Lucy
tt2267998,List of accolades received by Gone Girl (film)
tt1951265,The Hunger Games (film series)
tt1790864,The Maze Runner (film)
tt2084970,The Imitation Game
tt1631867,Edge of Tomorrow
tt2310332,The Hobbit: The Battle of the Five Armies
tt2179136,American Sniper
tt1840309,Divergent boundary
tt1587310,Maleficent (film)
tt1872181,The Amazing Spider-Man 2
tt2562232,Birdman
tt2278388,The Grand Budapest Hotel
tt2103281,Dawn of the Planet of the Apes
tt2713180,Fury
tt2911666,John Wick
tt2294449,22 Jump Street
tt1490017,The Lego Movie
tt2582846,The Fault in Our Stars (film)
tt2109248,Transformers: Age of Extinction
tt0831387,Godzilla
tt2582802,List of accolades received by Whiplash (2014 film)
tt1646971,How to Train Your Dragon 2
tt2872718,Nightcrawler (film)
tt0455944,The Equalizer (film)
tt2980516,The Theory of Everything (2014 film)
tt1291150,Teenage Mutant Ninja Turtles
tt2004420,The Very Friendly Neighbors
tt1234721,RoboCop
tt2024469,Non-Stop (film)
tt0829150,Dracula Untold
tt1253863,300: Rise of an Empire
tt2788710,The Interview (2014 film)
tt1959490,Noah
tt2209764,Transcendence (2014 film)
tt1528100,Exodus: Gods and Kings
tt1065073,Ronald Reagan Boyhood Home
tt2333784,The Expendables 3
tt1267297,Hercules
tt2369135,Need for Speed
tt1956620,Sex Tape (film)
tt2557490,A Million Ways to Die in the West
tt2177771,The Monuments Men
tt2180411,Into the Woods (film)
tt2692250,Night at the Museum: Secret of the Tomb
tt2397535,Predestination (film)
tt0435651,The Giver (film)
tt2203939,The Other Woman (2014 film)
tt2975578,The Purge: Anarchy
tt2321549,The Babadook
tt2170439,Horrible Bosses 2
tt1872194,The Judge (2014 film)
tt1809398,Unbroken (film)
tt1911658,Penguins of Madagascar
