imdb_id,wiki_page
tt0458339,Captain America: The First Avenger
tt0800369,Thor (film)
tt1270798,X-Men: First Class
tt1201607,Harry Potter and the Deathly Hallows – Part 2
tt1298650,Pirates of the Caribbean: On Stranger Tides
tt1229238,Mission: Impossible (film series)
tt1675434,The Intouchables
tt1515091,Sherlock Holmes: A Game of Shadows
tt1411697,The Hangover Part II
tt1318514,Rise of the Planet of the Apes
tt1399103,Transformers: Dark of the Moon
tt1219289,Limitless (film)
tt0780504,Drive
tt1637688,In Time
tt0433035,Real Steel
tt1568346,The Girl with the Dragon Tattoo (2011 film)
tt1133985,Green Lantern (film)
tt1324999,The Twilight Saga (film series)
tt1436562,Rio
tt0945513,Source Code
tt1596343,Fast Five
tt1570728,"Crazy, Stupid, Love"
tt0983193,The Adventures of Tintin (film)
tt1650062,Super 8 film
tt1192628,Rango (2011 film)
tt1499658,Horrible Bosses
tt0409847,Cowboys & Aliens
tt1632708,Friends with Benefits (film)
tt1216475,Cars 2
tt0970179,Hugo
tt1302011,Kung Fu Panda 2
tt1385826,The Adjustment Bureau
tt1092026,Paul
tt1217613,Battle: Los Angeles
tt1478338,Bridesmaids (2011 film)
tt1605783,Midnight in Paris
tt1464540,I Am Number Four (film)
tt0978764,Sucker Punch (2011 film)
tt1454029,The Help (film)
tt0448694,Puss in Boots (2011 film)
