imdb_id,wiki_page
tt1392190,Mad Max: Fury Road
tt0369610,Jurassic World
tt2488496,Star Wars: The Force Awakens
tt2395427,Avengers: Age of Ultron
tt3659388,The Martian (film)
tt2096673,Inside Out (2015 film)
tt0478970,Ant-Man (film)
tt1663202,The Revenant (2015 film)
tt2379713,Spectre (2015 film)
tt2293640,Minions (film)
tt2820852,Furious 7
tt0470752,Ex Machina (film)
tt1340138,Terminator Genisys
tt2381249,Mission: Impossible (film series)
tt2908446,The Divergent Series: Insurgent
tt1951266,The Hunger Games (film series)
tt3460252,The Hateful Eight
tt2126355,San Andreas (film)
tt1823672,Chappie (film)
tt1617661,Jupiter Ascending
tt1964418,Tomorrowland (film)
tt3079380,Digital Spy
tt2322441,Fifty Shades of Grey (film)
tt2381941,Focus
tt4046784,Maze Runner: The Scorch Trials
tt2637276,Ted 2
tt2446042,Taken 3
tt1502712,Fantastic Four in film
tt2120120,Pixels (2010 film)
tt1638355,The Man from U.N.C.L.E. (film)
tt3682448,List of accolades received by Bridge of Spies (film)
tt1661199,Cinderella (1979 film)
tt3397884,Sicario (2015 film)
tt1798684,Southpaw (film)
tt1895587,List of accolades received by Spotlight (film)
tt1596363,The Big Short (film)
tt2848292,Pitch Perfect 2
tt3170832,Room
tt3622592,Paper Towns (film)
tt2719848,Mount Everest
tt2361509,The Intern (2015 film)
tt1655441,The Age of Adaline
tt3076658,Creed
tt2224026,Home
tt1979388,The Good Dinosaur
tt3235888,It Follows
tt2080374,List of films named after Steve Jobs
tt2510894,Hotel Transylvania 2
tt1398426,Straight Outta Compton (film)
tt2446980,Joy
tt3152624,Trainwreck (film)
tt2199571,Run All Night (film)
tt1524930,National Lampoon's Vacation (film series)
tt1618442,The Last Witch Hunter
tt2679042,Hitman: Agent 47
tt1355683,Black Mass (film)
tt2554274,Crimson Peak
tt1390411,In the Heart of the Sea (film)
tt3045616,Mortdecai (film)
tt0810819,The Danish Girl (film)
