imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,tmdb_id,original_language,original_title,overview,tmdb_popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,tmdb_vote_average,tmdb_vote_count
tt0499549,False,/5XPPB44RQGfkBrbJxmtdndKz05n.jpg,"{u'backdrop_path': u'/9s4BM48NweGFrIRE6haIul0YJ9f.jpg', u'poster_path': u'/nslJVsO58Etqkk17oXMuVK4gNOF.jpg', u'id': 87096, u'name': u'Avatar Collection'}",237000000,"[Action, Adventure, Fantasy, Science Fiction]",http://www.avatarmovie.com/,19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.138468,/tcqb9NHdw9SWs2a88KCDD4V8sVR.jpg,"[{u'name': u'Ingenious Film Partners', u'id': 289}, {u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Dune Entertainment', u'id': 444}, {u'name': u'Lightstorm Entertainment', u'id': 574}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}, {u'iso_3166_1': u'GB', u'name': u'United Kingdom'}]",2009-12-10,2781505847,162,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Español'}]",Released,Enter the World of Pandora.,Avatar,False,7.1,7850
tt0988045,False,/8oOjtbJMPLVAIsQdxcgQ46Pkmhz.jpg,"{u'backdrop_path': u'/aeLom584FZdu6253WMaYEUCrTdu.jpg', u'poster_path': u'/bsUN9Ph1nUituteKWOhPQGguNXt.jpg', u'id': 102322, u'name': u'Sherlock Holmes Collection'}",90000000,"[Adventure, Drama, Action, Comedy, Thriller, Crime, Mystery]",http://sherlock-holmes-movie.warnerbros.com/,10528,en,Sherlock Holmes,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,3.369813,/22ngurXbLqab7Sko6aTSdwOCe5W.jpg,"[{u'name': u'Village Roadshow Pictures', u'id': 79}, {u'name': u'Silver Pictures', u'id': 1885}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Internationale Filmproduktion Blackbird Dritte', u'id': 19855}, {u'name': u'Wigram Productions', u'id': 23202}]","[{u'iso_3166_1': u'DE', u'name': u'Germany'}, {u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-01-07,524028679,128,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'fr', u'name': u'Français'}]",Released,Nothing escapes him.,Sherlock Holmes,False,6.9,3775
tt1119646,False,/39LohvXfll5dGCQIV9B9VJ16ImE.jpg,"{u'backdrop_path': u'/uEtsf26a9RsRDy85MOIv1xAj44x.jpg', u'poster_path': u'/aMmNLuyXvdBih1R5RRHtdtNaS6N.jpg', u'id': 86119, u'name': u'The Hangover Collection'}",35000000,[Comedy],http://hangoverpart2.warnerbros.com/dvd/,18785,en,The Hangover,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug -- who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",3.793684,/eshEkiG7NmU4ekA8CtpIdYiYufZ.jpg,"[{u'name': u'Legendary Pictures', u'id': 923}, {u'name': u'Green Hat Films', u'id': 3527}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'IFP Westcoast Erste', u'id': 12235}]","[{u'iso_3166_1': u'DE', u'name': u'Germany'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-06-05,459270619,100,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Some guys just can't handle Vegas.,The Hangover,False,7.1,3691
tt1049413,False,/qMjbMPkSCc1K19zuXNM2BgIsIRz.jpg,,175000000,"[Animation, Comedy, Family, Adventure]",http://disney.go.com/disneypictures/up/,14160,en,Up,"After a lifetime of dreaming of traveling the world, 78-year-old homebody Carl flies away on an unbelievable adventure with Russell, an 8-year-old Wilderness Explorer, unexpectedly in tow. Together, the unlikely pair embarks on a thrilling odyssey full of jungle beasts and rough terrain.",3.893134,/gfFqBcoFW8uczyl2ytVmVmUg82k.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}, {u'name': u'Pixar Animation Studios', u'id': 3}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-05-13,731342744,96,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Fly Up to Venezuela,Up,False,7.6,3492
tt0361748,False,/bk0GylJLneaSbpQZXpgTwleYigq.jpg,,70000000,"[Drama, Action, Thriller, War]",http://www.inglouriousbasterds-movie.com/,16869,en,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",4.463281,/6zYuTKyvcwmtNvXXvJZNT0IgBL0.jpg,"[{u'name': u'Universal Pictures', u'id': 33}, {u'name': u'A Band Apart', u'id': 59}, {u'name': u'Zehnte Babelsberg', u'id': 6817}, {u'name': u'Visiona Romantica', u'id': 6818}]","[{u'iso_3166_1': u'DE', u'name': u'Germany'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-08-18,319131050,153,"[{u'iso_639_1': u'de', u'name': u'Deutsch'}, {u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'fr', u'name': u'Français'}, {u'iso_639_1': u'it', u'name': u'Italiano'}]",Released,Once upon a time in Nazi occupied France...,Inglourious Basterds,False,7.7,3467
tt1190080,False,/ywxrdkfbr8Dg3SBW2gi4kC59qOb.jpg,,200000000,"[Action, Adventure, Science Fiction]",http://www.sonypictures.com/movies/2012,14161,en,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",1.840829,/5tIW9nTuxxy8iXSvsKJqFDVZpyg.jpg,"[{u'name': u'Columbia Pictures', u'id': 5}, {u'name': u'Centropolis Entertainment', u'id': 347}, {u'name': u'The Mark Gordon Company', u'id': 1557}, {u'name': u'Farewell Productions', u'id': 10905}]","[{u'iso_3166_1': u'CA', u'name': u'Canada'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-10-10,769653595,158,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'fr', u'name': u'Français'}, {u'iso_639_1': u'hi', u'name': u'हिन्दी'}, {u'iso_639_1': u'it', u'name': u'Italiano'}, {u'iso_639_1': u'la', u'name': u'Latin'}, {u'iso_639_1': u'zh', u'name': u'普通话'}, {u'iso_639_1': u'pt', u'name': u'Português'}, {u'iso_639_1': u'ru', u'name': u'Pусский'}, {u'iso_639_1': u'es', u'name': u'Español'}, {u'iso_639_1': u'bo', u'name': u''}, {u'iso_639_1': u'tr', u'name': u'Türkçe'}]",Released,We Were Warned.,2012,False,5.6,3311
tt0796366,False,/1XOSh6BFZbQ0xN75m4avqgzClyG.jpg,"{u'backdrop_path': u'/gWl5pN2FplE709aVtA4lakwsE6t.jpg', u'poster_path': u'/w2IVqa43Ge49mrY3qSaJWpyDtz6.jpg', u'id': 115575, u'name': u'Star Trek: Alternate Reality Collection'}",150000000,"[Science Fiction, Action, Adventure]",http://www.startrekmovie.com/,13475,en,Star Trek,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",4.233416,/xPihqTMhCh6b8DHYzE61jrIiNMS.jpg,"[{u'name': u'Paramount Pictures', u'id': 4}, {u'name': u'Spyglass Entertainment', u'id': 158}, {u'name': u'Bad Robot', u'id': 11461}, {u'name': u'MavroCine Pictures GmbH & Co. KG', u'id': 23419}]","[{u'iso_3166_1': u'DE', u'name': u'Germany'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-05-06,385680446,127,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,The future begins.,Star Trek,False,7.3,3140
tt0417741,False,/mjBjhotXUWc0EFZ5sswu7cu12Sp.jpg,"{u'backdrop_path': u'/wfnMt6LGqYHcNyOfsuusw5lX3bL.jpg', u'poster_path': u'/eVPs2Y0LyvTLZn6AP5Z6O2rtiGB.jpg', u'id': 1241, u'name': u'Harry Potter Collection'}",250000000,"[Adventure, Fantasy, Family]",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,en,Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past...",3.105266,/bFXys2nhALwDvpkF3dP3Vvdfn8b.jpg,"[{u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Heyday Films', u'id': 7364}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-07-07,933959197,153,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,False,7.2,2809
tt0458525,False,/mEuDxpLNBCarVgXRqDznHT7bdS8.jpg,"{u'backdrop_path': u'/Abnosho2v3bcdvDww6T7Hfeczm1.jpg', u'poster_path': u'/eq2kBgmiagXQgo2S96L8DZ9ou0F.jpg', u'id': 748, u'name': u'X-Men Collection'}",150000000,"[Adventure, Action, Thriller, Science Fiction]",http://www.x-menorigins.com/,2080,en,X-Men Origins: Wolverine,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",0.287712,/kqO36IYvWbRKMPiUeiVZUFH06Rc.jpg,"[{u'name': u'Ingenious Film Partners', u'id': 289}, {u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Donners' Company', u'id': 431}, {u'name': u'Dune Entertainment', u'id': 444}, {u'name': u'Seed Productions', u'id': 9076}, {u'name': u'Bad Hat Harry Productions', u'id': 9168}, {u'name': u'Big Screen Productions', u'id': 10893}, {u'name': u'Marvel Enterprises', u'id': 19551}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-04-28,341131793,107,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Witness the Origin.,X-Men Origins: Wolverine,False,6.2,2592
tt1055369,False,/tg7UGXaUROpzY5ppPh7dnvy4l7P.jpg,"{u'backdrop_path': u'/zvZBNNDWd5LcsIBpDhJyCB2MDT7.jpg', u'poster_path': u'/2riFSDDaAenWplKVEcxQu4xnTn8.jpg', u'id': 8650, u'name': u'Transformers Collection'}",150000000,"[Science Fiction, Action, Adventure]",http://www.transformersmovie.com/,8373,en,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",0.702648,/kVISXAXDYhjQCfu50QZeCCzzbPv.jpg,"[{u'name': u'Paramount Pictures', u'id': 4}, {u'name': u'DreamWorks SKG', u'id': 27}, {u'name': u'Amblin Entertainment', u'id': 56}, {u'name': u'Di Bonaventura Pictures', u'id': 435}, {u'name': u'Platinum Dunes', u'id': 2481}, {u'name': u'Hasbro', u'id': 2598}, {u'name': u'Revolution Sun Studios', u'id': 76043}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2009-06-19,836297228,150,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Español'}]",Released,Revenge is coming.,Transformers: Revenge of the Fallen,False,6.0,2045
