tmdb_id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
1771,False,/pmZtj1FKvQqISS6iQbkiLg5TAsr.jpg,"[28, 12, 878]",en,Captain America: The First Avenger,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",5.873485,/dlIPGXPxXQTp9kFrRzn0RsfUelx.jpg,2011-07-22,Captain America: The First Avenger,False,6.44,4673
10195,False,/6UxFfo8K3vcihtUpX1ek2ucGeEZ.jpg,"[12, 14, 28]",en,Thor,"Against his father Odin's will, The Mighty Thor -a powerful but arrogant warrior god -recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",4.838337,/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg,2011-04-21,Thor,False,6.5,4162
49538,False,/39nstYsfjR6ggyKTtB4Joga2fs8.jpg,"[28, 878, 12]",en,X-Men: First Class,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",1.09707,/7SSm7BfzFoVzmd6fCDccj7qRxc8.jpg,2011-05-24,X-Men: First Class,False,6.96,3411
12445,False,/gblLAEIDoWRN0vBLJyFGUZnf6j5.jpg,"[12, 10751, 14]",en,Harry Potter and the Deathly Hallows: Part 2,"In the second installment of the two-part conclusion, Harry and his best friends, Ron and Hermione, continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",4.060028,/fTplI1NCSuEDP4ITLcTps739fcC.jpg,2011-07-07,Harry Potter and the Deathly Hallows: Part 2,False,7.65,3295
1865,False,/l7zANdjgTvYqwZUx76Vk0EKpCH5.jpg,"[12, 28, 14]",en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",3.278264,/jUkGuSC9Kt29rW3x6UiB9zyZr1M.jpg,2011-05-11,Pirates of the Caribbean: On Stranger Tides,False,6.32,2915
56292,False,/wLRRjb0GEUCuBMx3YFksg2xyH4S.jpg,"[28, 53, 12]",en,Mission: Impossible - Ghost Protocol,"In the 4th installment of the Mission Impossible series, Ethan Hunt (Cruise) and his team are racing against time to track down a dangerous terrorist named Hendricks (Nyqvist), who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",4.892326,/s58mMsgIVOFfoXPtwPWJ3hDYpXf.jpg,2011-12-07,Mission: Impossible - Ghost Protocol,False,6.67,2817
77338,False,/ihWaJZCUIon2dXcosjQG2JHJAPN.jpg,"[18, 35]",fr,Intouchables,A true story of two men who should never have met - a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,4.95129,/4mFsNQwbD0F237Tx7gAPotd0nbJ.jpg,2011-11-02,The Intouchables,False,8.1,2667
58574,False,/3jmMRaO8WMjKsf1LWzo6Q6E5zMP.jpg,"[12, 28, 80, 9648]",en,Sherlock Holmes: A Game of Shadows,"There is a new criminal mastermind at large--Professor Moriarty--and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",2.851373,/7OFqsVuS6DlVM10GUD72vCGpQm9.jpg,2011-11-22,Sherlock Holmes: A Game of Shadows,False,6.9,2503
45243,False,/hnu7rEmUXyrRBqlRTd2CzDBUap4.jpg,[35],en,The Hangover Part II,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",2.910616,/hFUsdnUoQDQ02EVlKTyhDTdehEr.jpg,2011-05-25,The Hangover Part II,False,6.04,2388
61791,False,/caIpcr9xhvRcWfOMRDq3F5iIcLB.jpg,"[53, 28, 18, 878]",en,Rise of the Planet of the Apes,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father Charles. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects... Especially Caesar, his pet chimpanzee.",3.598361,/esqXMJv6PiK7GJVRwd2FA3SZUoW.jpg,2011-08-03,Rise of the Planet of the Apes,False,6.86,2359
38356,False,/76ZUJdlSUISSapiKXK3uG3Y8cuO.jpg,"[28, 878, 12]",en,Transformers: Dark of the Moon,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",1.660231,/p2CcXx2AUllgwGis5jsffYQGE3F.jpg,2011-06-28,Transformers: Dark of the Moon,False,6.11,2326
51876,False,/9ISArgiVBdNLASKmvflRDMOYYMj.jpg,"[53, 9648, 878]",en,Limitless,"A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret ""smart drug"" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film.",2.880092,/bQfOFEeXxi51ijQrbQY9qvMtYhZ.jpg,2011-03-08,Limitless,False,7.0,2165
64690,False,/f6nLe5SgUEWIMbulgoBRaDPR0TL.jpg,"[18, 28, 53, 80]",en,Drive,"A mysterious Hollywood stuntman who moonlights as a getaway driver seems to be trying to escape his shady past as he falls for his neighbor - whose husband is in prison and who's looking after her child alone. Meanwhile, his garage mechanic boss is trying to set up a race team using gangland money, which implicates our driver as he is to be used as the race team's main driver. Our hero gets more than he bargained for when he meets the man who is married to the woman he loves.",3.149176,/nu7XIa67cXc2t7frXCE5voXUJcN.jpg,2011-08-06,Drive,False,7.25,2056
49530,False,/cnGPiAd7D50YFcpt6HK7CwTUCew.jpg,"[28, 53, 878]",en,In Time,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.",2.835556,/lnYuAr3QOPzvuEFlzpsRUq41IEy.jpg,2011-10-27,In Time,False,6.6,1832
