tmdb_id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
157336,False,/xu9zaAevzQ5nnrsXN6JcahLnG4i.jpg,"[12, 18, 878]",en,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,16.743009,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,2014-11-05,Interstellar,False,8.13,5444
118340,False,/bHarw8xrmQeqf3t8HpuMY7zoK4x.jpg,"[28, 878, 12]",en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",9.887074,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,2014-07-30,Guardians of the Galaxy,False,7.98,4874
177572,False,/2BXd0t9JdVqCp9sKf6kzMkr7QjB.jpg,"[12, 10751, 16, 28, 35]",en,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",9.067953,/hGRfWcy1HRGbsjK6jF7NILmqmFT.jpg,2014-10-22,Big Hero 6,False,7.82,3656
127585,False,/5LBcSLHAtEIIgvNkA2dPmYH5wR7.jpg,"[28, 12, 14, 878]",en,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,6.270392,/qKkFk9HELmABpcPoc1HHZGIxQ5a.jpg,2014-05-15,X-Men: Days of Future Past,False,7.55,3575
100402,False,/4qfXT9BtxeFuamR4F49m2mpKQI1.jpg,"[28, 12, 878]",en,Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",5.859134,/5TQ6YDmymBpnF005OyoB7ohZps9.jpg,2014-03-20,Captain America: The Winter Soldier,False,7.59,3451
207703,False,/pfyWJUxrBTT2UIPoEQF3iFTHcQT.jpg,"[80, 35, 28, 12]",en,Kingsman: The Secret Service,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,3.551788,/8x7ej0LnHdKUqilNNJXYOeyB6L9.jpg,2014-12-13,Kingsman: The Secret Service,False,7.64,3437
240832,False,/eCgIoGvfNXrbSiQGqQHccuHjQHm.jpg,"[28, 878]",en,Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",6.002996,/rwn876MeqienhOVSSjtUPnwxn0Z.jpg,2014-07-14,Lucy,False,6.28,3296
210577,False,/bt6DhdALyhf90gReozoQ0y3R3vZ.jpg,"[9648, 53, 18]",en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",7.597637,/gdiLTof3rbPDAmPaCf4g6op46bj.jpg,2014-10-01,Gone Girl,False,7.94,3293
131631,False,/83nHcz2KcnEpPXY50Ky2VldewJJ.jpg,"[878, 12, 53]",en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,15.91193,/gj282Pniaa78ZJfbaixyLXnXEDI.jpg,2014-11-18,The Hunger Games: Mockingjay - Part 1,False,6.72,3083
198663,False,/yTbPPmLAn7DiiM0sPYfZduoAjB.jpg,"[28, 9648, 878, 53]",en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",5.628188,/coss7RgL0NH6g4fC2s5atvf3dFO.jpg,2014-09-10,The Maze Runner,False,6.99,3021
