imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,tmdb_id,original_language,original_title,overview,tmdb_popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,tmdb_vote_average,tmdb_vote_count
tt0816692,False,/xu9zaAevzQ5nnrsXN6JcahLnG4i.jpg,,165000000,"[Adventure, Drama, Science Fiction]",https://interstellar.withgoogle.com/,157336,en,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,15.743009,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,"[{u'name': u'Paramount Pictures', u'id': 4}, {u'name': u'Legendary Pictures', u'id': 923}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Syncopy', u'id': 9996}, {u'name': u'Lynda Obst Productions', u'id': 13769}]","[{u'iso_3166_1': u'CA', u'name': u'Canada'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}, {u'iso_3166_1': u'GB', u'name': u'United Kingdom'}]",2014-11-05,621752480,169,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,False,8.1,5446
tt2015381,False,/bHarw8xrmQeqf3t8HpuMY7zoK4x.jpg,"{u'backdrop_path': u'/b09vRh5oOda2REMlv9yiMxULRIt.jpg', u'poster_path': u'/kFWLxUwcSpiLzszZbxUIZT9g6WR.jpg', u'id': 284433, u'name': u'Guardians of the Galaxy Collection'}",170000000,"[Action, Science Fiction, Adventure]",http://marvel.com/guardians,118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",8.887074,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,"[{u'name': u'Marvel Studios', u'id': 420}, {u'name': u'Marvel Enterprises', u'id': 19551}, {u'name': u'Moving Picture Company (MPC)', u'id': 20478}, {u'name': u'Bulletproof Cupid', u'id': 54850}, {u'name': u'Revolution Sun Studios', u'id': 76043}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-07-30,773312399,121,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,All heroes start somewhere.,Guardians of the Galaxy,False,8.0,4874
tt2245084,False,/2BXd0t9JdVqCp9sKf6kzMkr7QjB.jpg,,165000000,"[Adventure, Family, Animation, Action, Comedy]",http://movies.disney.com/big-hero-6,177572,en,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",8.067953,/hGRfWcy1HRGbsjK6jF7NILmqmFT.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}, {u'name': u'Walt Disney Animation Studios', u'id': 6125}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-10-22,652105443,102,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,False,7.8,3657
tt1877832,False,/5LBcSLHAtEIIgvNkA2dPmYH5wR7.jpg,"{u'backdrop_path': u'/Abnosho2v3bcdvDww6T7Hfeczm1.jpg', u'poster_path': u'/eq2kBgmiagXQgo2S96L8DZ9ou0F.jpg', u'id': 748, u'name': u'X-Men Collection'}",250000000,"[Action, Adventure, Fantasy, Science Fiction]",http://www.x-menmovies.com/,127585,en,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,5.270392,/qKkFk9HELmABpcPoc1HHZGIxQ5a.jpg,"[{u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Donners' Company', u'id': 431}, {u'name': u'Marvel Entertainment', u'id': 7505}, {u'name': u'Bad Hat Harry Productions', u'id': 9168}, {u'name': u'TSG Entertainment', u'id': 22213}, {u'name': u'Down Productions', u'id': 37336}, {u'name': u'Revolution Sun Studios', u'id': 76043}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-05-15,746000000,131,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,"To save the future, they must alter the past",X-Men: Days of Future Past,False,7.6,3575
tt1843866,False,/4qfXT9BtxeFuamR4F49m2mpKQI1.jpg,"{u'backdrop_path': u'/nZSYqitBkAvmoq5IrsGsSWuhSC8.jpg', u'poster_path': u'/2tOgiY533JSFp7OrVlkeRJvsZpI.jpg', u'id': 131295, u'name': u'Captain America Collection'}",170000000,"[Action, Adventure, Science Fiction]",http://www.captainamericathewintersoldiermovie.com,100402,en,Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",4.859134,/5TQ6YDmymBpnF005OyoB7ohZps9.jpg,"[{u'name': u'Marvel Studios', u'id': 420}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-03-20,714766572,136,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,In heroes we trust.,Captain America: The Winter Soldier,False,7.6,3451
tt2802144,False,/pfyWJUxrBTT2UIPoEQF3iFTHcQT.jpg,"{u'backdrop_path': None, u'poster_path': None, u'id': 391860, u'name': u'Kingsman Collection'}",81000000,"[Crime, Comedy, Action, Adventure]",http://www.kingsmanmovie.com/,207703,en,Kingsman: The Secret Service,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,2.551788,/8x7ej0LnHdKUqilNNJXYOeyB6L9.jpg,"[{u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Marv Films', u'id': 5374}, {u'name': u'TSG Entertainment', u'id': 22213}, {u'name': u'Cloudy Productions', u'id': 78995}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-12-13,403802136,130,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Manners maketh man.,Kingsman: The Secret Service,False,7.6,3438
tt2872732,False,/eCgIoGvfNXrbSiQGqQHccuHjQHm.jpg,,40000000,"[Action, Science Fiction]",,240832,en,Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",5.002996,/rwn876MeqienhOVSSjtUPnwxn0Z.jpg,"[{u'name': u'Universal Pictures', u'id': 33}, {u'name': u'TF1 Films Production', u'id': 3823}, {u'name': u'Canal+', u'id': 5358}, {u'name': u'EuropaCorp', u'id': 6896}, {u'name': u'Ciné+', u'id': 23616}]","[{u'iso_3166_1': u'FR', u'name': u'France'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-07-14,463360063,89,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,Lucy,False,6.3,3296
tt2267998,False,/bt6DhdALyhf90gReozoQ0y3R3vZ.jpg,,61000000,"[Mystery, Thriller, Drama]",http://www.gonegirlmovie.com/,210577,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",6.597637,/gdiLTof3rbPDAmPaCf4g6op46bj.jpg,"[{u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Regency Enterprises', u'id': 508}, {u'name': u'New Regency Pictures', u'id': 10104}, {u'name': u'Pacific Standard', u'id': 15829}, {u'name': u'TSG Entertainment', u'id': 22213}, {u'name': u'Artemple - Hollywood', u'id': 60682}, {u'name': u'Revolution Sun Studios', u'id': 76043}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-10-01,369330363,145,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,You don't know what you've got 'til it's...,Gone Girl,False,7.9,3294
tt1951265,False,/83nHcz2KcnEpPXY50Ky2VldewJJ.jpg,"{u'backdrop_path': u'/zWiiLNg8yXv0he3tCH6XignPaYV.jpg', u'poster_path': u'/wM0BxA2zOtHW3f0xWZC9FcMLWl5.jpg', u'id': 131635, u'name': u'The Hunger Games Collection'}",125000000,"[Science Fiction, Adventure, Thriller]",http://www.thehungergames.movie/,131631,en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,14.91193,/gj282Pniaa78ZJfbaixyLXnXEDI.jpg,"[{u'name': u'Lionsgate', u'id': 1632}, {u'name': u'Color Force', u'id': 5420}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-11-18,752100229,123,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,False,6.7,3083
tt1790864,False,/yTbPPmLAn7DiiM0sPYfZduoAjB.jpg,"{u'backdrop_path': u'/eQ8iwAvGfuNnPjBCKTIVp5PsFw.jpg', u'poster_path': u'/6baJvzgYDe7JoOdQlzdBwGVr7Hy.jpg', u'id': 295130, u'name': u'The Maze Runner Collection'}",34000000,"[Action, Mystery, Science Fiction, Thriller]",http://themazerunnermovie.com/,198663,en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",4.628188,/coss7RgL0NH6g4fC2s5atvf3dFO.jpg,"[{u'name': u'Ingenious Media', u'id': 290}, {u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Gotham Group', u'id': 3672}, {u'name': u'Dayday Films', u'id': 8569}, {u'name': u'Temple Hill Entertainment', u'id': 12292}, {u'name': u'TSG Entertainment', u'id': 22213}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2014-09-10,348319861,113,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Run - Remember - Survive,The Maze Runner,False,7.0,3022
