imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,tmdb_id,original_language,original_title,overview,tmdb_popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,tmdb_vote_average,tmdb_vote_count
tt0468569,False,/nnMC0BM6XbjIIrT4miYmMtPGcQV.jpg,"{u'backdrop_path': u'/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg', u'poster_path': u'/bqS2lMgGkuodIXtDILFWTSWDDpa.jpg', u'id': 263, u'name': u'The Dark Knight Collection'}",185000000,"[Drama, Action, Crime, Thriller]",http://thedarkknight.warnerbros.com/dvdsite/,155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",9.317399,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,"[{u'name': u'DC Comics', u'id': 429}, {u'name': u'Legendary Pictures', u'id': 923}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Syncopy', u'id': 9996}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-07-16,1001921825,152,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'zh', u'name': u'普通话'}]",Released,Why So Serious?,The Dark Knight,False,8.0,7626
tt0371746,False,/ZQixhAZx6fH1VNafFXsqa1B8QI.jpg,"{u'backdrop_path': u'/rI8zOWkRQJdlAyQ6WJOSlYK6JxZ.jpg', u'poster_path': u'/fbeJ7f0aD4A112Bc1tnpzyn82xO.jpg', u'id': 131292, u'name': u'Iron Man Collection'}",140000000,"[Action, Science Fiction, Adventure]",http://www.ironmanmovie.com/,1726,en,Iron Man,"Tony Stark. Genius, billionaire, playboy, philanthropist. Son of legendary inventor and weapons contractor Howard Stark. When Tony Stark is assigned to give a weapons presentation to an Iraqi unit led by Lt. Col. James Rhodes, he's given a ride on enemy lines. That ride ends badly when Stark's Humvee that he's riding in is attacked by enemy combatants. He survives - barely - with a chest full of shrapnel and a car battery attached to his heart. In order to survive he comes up with a way to miniaturize the battery and figures out that the battery can power something else. Thus Iron Man is born. He uses the primitive device to escape from the cave in Iraq. Once back home, he then begins work on perfecting the Iron Man suit. But the man who was put in charge of Stark Industries has plans of his own to take over Tony's technology for other matters.",4.512968,/s2IG9qXfhJYxIttKyroYFBsHwzQ.jpg,"[{u'name': u'Marvel Studios', u'id': 420}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-04-30,585174222,126,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'fa', u'name': u'فارسی'}, {u'iso_639_1': u'ur', u'name': u'اردو'}, {u'iso_639_1': u'ar', u'name': u'العربية'}]",Released,Heroes aren't born. They're built.,Iron Man,False,7.2,5656
tt0910970,False,/2nFyTvssbtJMLC6eyYwwZ88gALD.jpg,,180000000,"[Animation, Family]",http://disney.go.com/disneypictures/wall-e/,10681,en,WALL·E,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",3.165981,/4qOKgcDcB0SojUIg2syzor1FeL7.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}, {u'name': u'Pixar Animation Studios', u'id': 3}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-06-22,521311860,98,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,An adventure beyond the ordinar-E.,WALL·E,False,7.6,3827
tt0936501,False,/lcqVBBirzzX520AyOK3k7kXBDJ6.jpg,"{u'backdrop_path': u'/hO1R1TI429PjkOjby4dTPBrWFwn.jpg', u'poster_path': u'/4PNFiSaJWvWhkdOw0KF9Vf7v3gC.jpg', u'id': 135483, u'name': u'Taken Collection'}",25000000,"[Action, Thriller, Crime]",,8681,en,Taken,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",2.827217,/3zlffXmo7QpVBc17QIJWrRfasVr.jpg,"[{u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'M6 Films', u'id': 1115}, {u'name': u'Canal+', u'id': 5358}, {u'name': u'TPS Star', u'id': 6586}, {u'name': u'Grive Productions', u'id': 6877}, {u'name': u'EuropaCorp', u'id': 6896}, {u'name': u'M6', u'id': 11261}, {u'name': u'Wintergreen Productions', u'id': 11845}, {u'name': u'All Pictures Media', u'id': 23614}]","[{u'iso_3166_1': u'FR', u'name': u'France'}, {u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-02-18,226830568,93,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'fr', u'name': u'Français'}, {u'iso_639_1': u'ar', u'name': u'العربية'}, {u'iso_639_1': u'sq', u'name': u'shqip'}]",Released,They took his daughter.  He'll take their lives.,Taken,False,7.1,2808
tt0830515,False,/hfZVY8lMiE7HH1cDc2qzSFF6Kbt.jpg,"{u'backdrop_path': u'/dOSECZImeyZldoq0ObieBE0lwie.jpg', u'poster_path': u'/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', u'id': 645, u'name': u'James Bond Collection'}",200000000,"[Adventure, Action, Thriller, Crime]",http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",4.344392,/6mlNx0Jiqhg3D7NlANT9pidsgPJ.jpg,"[{u'name': u'Columbia Pictures', u'id': 5}, {u'name': u'Eon Productions', u'id': 7576}, {u'name': u'Metro-Goldwyn-Mayer (MGM)', u'id': 8411}, {u'name': u'B22', u'id': 22790}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-10-30,586090727,106,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Español'}, {u'iso_639_1': u'it', u'name': u'Italiano'}, {u'iso_639_1': u'fr', u'name': u'Français'}, {u'iso_639_1': u'de', u'name': u'Deutsch'}]",Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,False,6.0,1985
tt1099212,False,/gxHXZFCYguoTgYq6VYahZ6kaFgN.jpg,"{u'backdrop_path': u'/rv5b06YAvmekw0D6Ul2ps9JbH4C.jpg', u'poster_path': u'/2o4zgGjVryMOPdNqLZWsSPqRkOH.jpg', u'id': 33514, u'name': u'The Twilight Saga Collection'}",37000000,"[Adventure, Fantasy, Drama, Romance]",http://www.twilightthemovie.com,8966,en,Twilight,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",2.732502,/nlvPMLCdum7bkHKmDSMnNLGztmW.jpg,"[{u'name': u'Summit Entertainment', u'id': 491}, {u'name': u'Maverick Films', u'id': 4000}, {u'name': u'Imprint Entertainment', u'id': 5218}, {u'name': u'Goldcrest Pictures', u'id': 11843}, {u'name': u'Temple Hill Entertainment', u'id': 12292}, {u'name': u'Twilight Productions', u'id': 57750}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-11-20,392616625,122,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,"When you can live forever, what do you live for?",Twilight,False,5.7,1765
tt0441773,False,/UJwhgwAxU42cm9XKncO9boFAEV.jpg,"{u'backdrop_path': u'/uDosHOFFWtF5YteBRygHALFqLw2.jpg', u'poster_path': u'/2QT6PuYXY0T2Ry9rX0JKQYTrbwx.jpg', u'id': 77816, u'name': u'Kung Fu Panda Collection'}",130000000,"[Animation, Family]",http://www.kungfupanda.com/,9502,en,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",3.188842,/2Paj1nufT0jeSY0G4u3RC31HIGT.jpg,"[{u'name': u'DreamWorks Animation', u'id': 521}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-06-04,631744560,90,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Prepare for awesomeness.,Kung Fu Panda,False,6.8,1734
tt0800080,False,/cOUnJk61xWbhosPMrMWZmvag1NS.jpg,,150000000,"[Science Fiction, Action, Adventure]",,1724,en,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",3.723174,/qTghl3lO8PhmIxkf8eN5WQQefHI.jpg,"[{u'name': u'Universal Pictures', u'id': 33}, {u'name': u'Marvel Studios', u'id': 420}, {u'name': u'Valhalla Motion Pictures', u'id': 11533}, {u'name': u'Marvel Enterprises', u'id': 19551}, {u'name': u'MVL Incredible Productions', u'id': 25121}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-06-12,163712074,114,"[{u'iso_639_1': u'pt', u'name': u'Português'}, {u'iso_639_1': u'es', u'name': u'Español'}, {u'iso_639_1': u'en', u'name': u'English'}]",Released,You'll like him when he's angry.,The Incredible Hulk,False,6.1,1705
tt0421715,False,/u4izHlsHk8jwalt5m7E2uzP8q9E.jpg,,150000000,"[Fantasy, Drama, Thriller, Mystery, Romance]",http://www.benjaminbutton.com/,4922,en,The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",1.122304,/4O4INOPtWTfHq3dd5vYTPV0TCwa.jpg,"[{u'name': u'Paramount Pictures', u'id': 4}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Kennedy/Marshall Company, The', u'id': 7383}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2008-11-24,333932083,166,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,"Life isn't measured in minutes, but in moments.",The Curious Case of Benjamin Button,False,7.2,1638
tt1205489,False,/f2fFY79HLf8FadJwoxHxuHN7Bzn.jpg,,33000000,[Drama],http://www.thegrantorino.com/,13223,en,Gran Torino,"Walt Kowalski, an iron-willed and inflexible Korean War veteran living in a changing world, is forced by his immigrant neighbors to confront his long-held prejudices.",2.009278,/yeBc5vpEiqIAZrbVQnl833GlBEi.jpg,"[{u'name': u'Village Roadshow Pictures', u'id': 79}, {u'name': u'Malpaso Productions', u'id': 171}, {u'name': u'Gerber Pictures', u'id': 975}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Double Nickel Entertainment', u'id': 10138}, {u'name': u'Matten Productions', u'id': 27351}, {u'name': u'WV Films IV', u'id': 27352}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}, {u'iso_3166_1': u'DE', u'name': u'Germany'}]",2008-12-11,269958228,116,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Ever come across somebody you shouldn't have messed with?,Gran Torino,False,7.6,1569
