tmdb_id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
19995,False,/5XPPB44RQGfkBrbJxmtdndKz05n.jpg,"[28, 12, 14, 878]",en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",8.138468,/tcqb9NHdw9SWs2a88KCDD4V8sVR.jpg,2009-12-10,Avatar,False,7.11,7841
10528,False,/8oOjtbJMPLVAIsQdxcgQ46Pkmhz.jpg,"[12, 18, 28, 35, 53, 80, 9648]",en,Sherlock Holmes,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,3.250794,/22ngurXbLqab7Sko6aTSdwOCe5W.jpg,2009-01-07,Sherlock Holmes,False,6.9,3772
18785,False,/39LohvXfll5dGCQIV9B9VJ16ImE.jpg,[35],en,The Hangover,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug -- who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",5.129841,/eshEkiG7NmU4ekA8CtpIdYiYufZ.jpg,2009-06-05,The Hangover,False,7.08,3689
14160,False,/qMjbMPkSCc1K19zuXNM2BgIsIRz.jpg,"[16, 35, 10751, 12]",en,Up,"After a lifetime of dreaming of traveling the world, 78-year-old homebody Carl flies away on an unbelievable adventure with Russell, an 8-year-old Wilderness Explorer, unexpectedly in tow. Together, the unlikely pair embarks on a thrilling odyssey full of jungle beasts and rough terrain.",3.528777,/gfFqBcoFW8uczyl2ytVmVmUg82k.jpg,2009-05-13,Up,False,7.55,3481
16869,False,/bk0GylJLneaSbpQZXpgTwleYigq.jpg,"[18, 28, 53, 10752]",en,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",5.463281,/6zYuTKyvcwmtNvXXvJZNT0IgBL0.jpg,2009-08-18,Inglourious Basterds,False,7.71,3463
14161,False,/ywxrdkfbr8Dg3SBW2gi4kC59qOb.jpg,"[28, 12, 878]",en,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",2.840829,/5tIW9nTuxxy8iXSvsKJqFDVZpyg.jpg,2009-10-10,2012,False,5.6,3311
13475,False,/1XOSh6BFZbQ0xN75m4avqgzClyG.jpg,"[878, 28, 12]",en,Star Trek,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",5.031309,/xPihqTMhCh6b8DHYzE61jrIiNMS.jpg,2009-05-06,Star Trek,False,7.3,3136
767,False,/mjBjhotXUWc0EFZ5sswu7cu12Sp.jpg,"[12, 14, 10751]",en,Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past...",3.89606,/bFXys2nhALwDvpkF3dP3Vvdfn8b.jpg,2009-07-07,Harry Potter and the Half-Blood Prince,False,7.18,2803
2080,False,/mEuDxpLNBCarVgXRqDznHT7bdS8.jpg,"[12, 28, 53, 878]",en,X-Men Origins: Wolverine,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",1.287712,/kqO36IYvWbRKMPiUeiVZUFH06Rc.jpg,2009-04-28,X-Men Origins: Wolverine,False,6.19,2590
8373,False,/tg7UGXaUROpzY5ppPh7dnvy4l7P.jpg,"[878, 28, 12]",en,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",1.702648,/kVISXAXDYhjQCfu50QZeCCzzbPv.jpg,2009-06-19,Transformers: Revenge of the Fallen,False,5.99,2042
17654,False,/yosGyMJ2CkavMSGx6PhcZO6kCAV.jpg,"[28, 53, 878]",en,District 9,"Aliens land in South Africa and have no way home. Years later after living in a slum and wearing out their welcome the ""Non-Humans"" are being moved to a new tent city overseen by Multi-National United (MNU). The movie follows an MNU employee tasked with leading the relocation and his relationship with one of the alien leaders.",2.591051,/axFmCRNQsW6Bto8XuJKo08MPPV5.jpg,2009-08-05,District 9,False,7.12,1902
19908,False,/lLgLFzSZduH9kBxrk6BvoHc1gg0.jpg,"[35, 27]",en,Zombieland,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",2.658818,/vUzzDpVrab1BOG3ogxhRGfLN94d.jpg,2009-10-07,Zombieland,False,7.1,1901
13183,False,/ok6Ws65nDSLAIKkKgIjqyM5OGCc.jpg,"[28, 9648, 878]",en,Watchmen,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",2.995667,/jXggcKzlyxj7yMBUIsqwiaaEtD5.jpg,2009-03-05,Watchmen,False,6.78,1563
13804,False,/1R2ihQztuRTIqN3pFBR1yrBMd7w.jpg,"[28, 80, 18, 53]",en,Fast & Furious,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.",2.592433,/ft8IqAGFs3V7i87z0t0EVRUjK1p.jpg,2009-04-02,Fast & Furious,False,6.4,1541
534,False,/nQtWfidhGPJwncmL3hrNDDEJUAr.jpg,"[18, 28, 53, 878]",en,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",3.708449,/hxDfhavtxA2Ayx7O9BsQMcZRdG0.jpg,2009-05-20,Terminator Salvation,False,5.8,1523
19913,False,/yYw9cVdRJ4zzwxM2cTDXfT6JI6E.jpg,"[35, 18, 10749]",en,(500) Days of Summer,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",2.409853,/5SjtNPD1bb182vzQccvEUpXHFjN.jpg,2009-07-17,(500) Days of Summer,False,7.29,1521
14869,False,/bAmhm8pfLqbzxNRzZw08512h4RE.jpg,"[12, 28, 53, 878]",en,G.I. Joe: The Rise of Cobra,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",2.521457,/29eW5c5DaCFQejdt9V14RrA51yD.jpg,2009-08-04,G.I. Joe: The Rise of Cobra,False,5.69,1389
8355,False,/1lXhppR9qqF5xezLhzh10Qw0gz.jpg,"[16, 35, 10751, 12]",en,Ice Age: Dawn of the Dinosaurs,"Times are changing for moody mammoth Manny, motor mouthed sloth Sid and crafty saber-toothed tiger Diego in this third installment of the beloved computer-animated children's franchise. Life heats up for our heroes when they meet some new and none-too-friendly neighbors: the mighty dinosaurs.",3.62083,/crAf8b9gFpcdvY7majL8xWzTbem.jpg,2009-06-29,Ice Age: Dawn of the Dinosaurs,False,6.42,1222
18239,False,/fOI3kFfMGBnNJJlnwYAXunpqzze.jpg,"[12, 14, 18, 10749]",en,The Twilight Saga: New Moon,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.",2.594204,/4O6OCHVrXie2Th8asDn5utvlTwC.jpg,2009-03-15,The Twilight Saga: New Moon,False,5.55,1207
13448,False,/wjrTJhDQEqmmaEfbM2Qo8ibzvSS.jpg,"[53, 9648]",en,Angels & Demons,"Harvard symbologist Robert Langdon investigates a mysterious symbol seared into the chest of a murdered physicist. He discovers evidence of the unimaginable, the rebirth of an ancient secret brotherhood known as the Illuminati, the most powerful underground organization ever to walk the earth.",3.400136,/grN4lETrHNejatQZFP2F2DAWMU4.jpg,2009-05-13,Angels & Demons,False,6.25,1071
22794,False,/xgH52bpPbu8uwwx5VAS6fbCyHfj.jpg,"[16, 35, 10751]",en,Cloudy with a Chance of Meatballs,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",2.693817,/75QV0rNm6QHpMnpIGrZK0ev08rH.jpg,2009-09-17,Cloudy with a Chance of Meatballs,False,6.41,1001
22881,False,/qVjKZMB0IdOc2JlwiiGsuKTvTJs.jpg,[18],en,The Blind Side,"Oversized African American Michael Oher, the teen from across the tracks and a broken home, has nowhere to sleep at age 16. Taken in by an affluent Memphis couple, Leigh Anne and Sean, Michael embarks on a remarkable rise to play for the NFL.",2.573735,/wEGFSgPebLk6g1ngKsJ6a46PYLV.jpg,2009-11-20,The Blind Side,False,7.02,977
18360,False,/2ilkOrmTcJdYonmMJh1NFGUSw3R.jpg,"[12, 14, 28, 35, 10751]",en,Night at the Museum: Battle of the Smithsonian,"Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.",3.390191,/qbU6AxmO69bBwu6Tw8HtcRoltAA.jpg,2009-05-20,Night at the Museum: Battle of the Smithsonian,False,5.87,949
17431,False,/go6jnBNw2iNJKYTazt22SvxVI09.jpg,"[878, 18]",en,Moon,"With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. The long period of time alone however has resulted in him talking to himself for the most part, or to his plants. Direct communication with Earth is not possible due to a long-standing communication malfunction but he does get an occasional message from his wife Tess. When he has an accident however, he wakens to find that he is not alone. He also comes to realize that his world is not what he thought it was.",2.436428,/2tgl9q3ZaVQUfSsbftqhRxXCElB.jpg,2009-06-12,Moon,False,7.45,920
18240,False,/iYQcFgHg4aWzozfVtqqrn6preRx.jpg,"[35, 10749, 18]",en,The Proposal,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",2.828107,/xippClkb4VCE15uva13SAGf8Vsd.jpg,2009-06-01,The Proposal,False,6.61,908
12437,False,/gVfnoiCJBdv2SN7poIbU7eyNVq1.jpg,"[14, 28, 12, 878, 53]",en,Underworld: Rise of the Lycans,"A prequel to the first two Underworld films, this fantasy explains the origins of the feud between the Vampires and the Lycans. Aided by his secret love, Sonja, courageous Lucian leads the Lycans in battle against brutal Vampire king Viktor. Determined to break the king's enslavement of his people, Lucian faces off against the Death Dealer army in a bid for Lycan independence.",2.891459,/hZtK6fkusSKzGc0f7yQ2syo14Ze.jpg,2009-01-22,Underworld: Rise of the Lycans,False,6.15,903
