imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,tmdb_id,original_language,original_title,overview,tmdb_popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,tmdb_vote_average,tmdb_vote_count
tt1392190,False,/tbhdm8UJAb4ViCTsulYFL3lxMCd.jpg,"{u'backdrop_path': u'/zI0q2ENcQOLECbe0gAEGlncVh2j.jpg', u'poster_path': u'/jZowUf4okNYuSlgj5iURE7CDMho.jpg', u'id': 8945, u'name': u'Mad Max Collection'}",150000000,"[Action, Adventure, Science Fiction, Thriller]",http://www.madmaxmovie.com/,76341,en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",17.391762,/kqjL17yufvn9OVLyXYpvtyrFfak.jpg,"[{u'name': u'Village Roadshow Pictures', u'id': 79}, {u'name': u'Kennedy Miller Productions', u'id': 2537}]","[{u'iso_3166_1': u'AU', u'name': u'Australia'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-05-13,378436354,120,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,What a Lovely Day.,Mad Max: Fury Road,False,7.3,5062
tt0369610,False,/dkMD5qlogeRMiEixC4YNPUvax2T.jpg,"{u'backdrop_path': u'/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg', u'poster_path': u'/jcUXVtJ6s0NG0EaxllQCAUtqdr0.jpg', u'id': 328, u'name': u'Jurassic Park Collection'}",150000000,"[Action, Adventure, Science Fiction, Thriller]",http://www.jurassicworld.com/,135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",15.079174,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,"[{u'name': u'Universal Studios', u'id': 13}, {u'name': u'Amblin Entertainment', u'id': 56}, {u'name': u'Legendary Pictures', u'id': 923}, {u'name': u'Fuji Television Network', u'id': 3341}, {u'name': u'Dentsu', u'id': 6452}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-06-09,1513528810,124,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,The park is open.,Jurassic World,False,6.6,4809
tt2488496,False,/c2Ax8Rox5g6CneChwy1gmu4UbSb.jpg,"{u'backdrop_path': u'/d8duYyyC9J5T825Hg7grmaabfxQ.jpg', u'poster_path': u'/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', u'id': 10, u'name': u'Star Wars Collection'}",200000000,"[Action, Adventure, Science Fiction, Fantasy]",http://www.starwars.com/films/star-wars-episode-vii,140607,en,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",7.435354,/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg,"[{u'name': u'Lucasfilm', u'id': 1}, {u'name': u'Truenorth Productions', u'id': 1634}, {u'name': u'Bad Robot', u'id': 11461}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-12-15,2068178225,136,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Every generation has a story.,Star Wars: The Force Awakens,False,7.6,4575
tt2395427,False,/570qhjGZmGPrBGnfx70jcwIuBr4.jpg,"{u'backdrop_path': u'/zuW6fOiusv4X9nnW3paHGfXcSll.jpg', u'poster_path': u'/aC3VJyuNpymHAf9pyQqB20EK4v6.jpg', u'id': 86311, u'name': u'The Avengers Collection'}",250000000,"[Action, Adventure, Science Fiction]",http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",4.558371,/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg,"[{u'name': u'Marvel Studios', u'id': 420}, {u'name': u'Prime Focus', u'id': 15357}, {u'name': u'Revolution Sun Studios', u'id': 76043}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-04-22,1405035767,141,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,A New Age Has Come.,Avengers: Age of Ultron,False,7.4,3850
tt3659388,False,/sy3e2e4JwdAtd2oZGA2uUilZe8j.jpg,,108000000,"[Drama, Adventure, Science Fiction]",http://www.foxmovies.com/movies/the-martian,286217,en,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",8.373647,/5aGhaIHYuQbqlHWvWYqMCnj40y2.jpg,"[{u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Scott Free Productions', u'id': 1645}, {u'name': u'Mid Atlantic Films', u'id': 2735}, {u'name': u'International Traders', u'id': 6408}, {u'name': u'TSG Entertainment', u'id': 22213}, {u'name': u'Genre Films', u'id': 28788}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-09-30,595380321,141,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'zh', u'name': u'普通话'}]",Released,Bring Him Home,The Martian,False,7.6,3828
tt2096673,False,/szytSpLAyBh3ULei3x663mAv5ZT.jpg,"{u'backdrop_path': u'/9uOkANPj7lpbDlQLIj5nHvYLsmR.jpg', u'poster_path': u'/tEkU7GzAi5pVSByddLnLBEXBkSn.jpg', u'id': 395637, u'name': u'Inside Out'}",175000000,"[Comedy, Animation, Family]",http://movies.disney.com/inside-out,150540,en,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",5.63192,/aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}, {u'name': u'Pixar Animation Studios', u'id': 3}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-06-09,857427711,94,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Meet the little voices inside your head.,Inside Out,False,8.0,3346
tt0478970,False,/kvXLZqY0Ngl1XSw7EaMQO0C1CCj.jpg,,130000000,"[Science Fiction, Action, Adventure]",http://marvel.com/movies/movie/180/ant-man,102899,en,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",6.030112,/D6e8RJf2qUstnfkTslTXNTUAlT.jpg,"[{u'name': u'Marvel Studios', u'id': 420}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-07-14,518178306,115,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Heroes Don't Get Any Bigger,Ant-Man,False,6.9,3327
tt1663202,False,/kiWvoV78Cc3fUwkOHKzyBgVdrDD.jpg,,135000000,"[Western, Drama, Adventure, Thriller]",http://www.foxmovies.com/movies/the-revenant,281957,en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",6.397272,/oXUWEc5i3wYyFnL1Ycu8ppxxPvs.jpg,"[{u'name': u'Regency Enterprises', u'id': 508}, {u'name': u'Appian Way', u'id': 562}, {u'name': u'CatchPlay', u'id': 8870}, {u'name': u'Anonymous Content', u'id': 10039}, {u'name': u'New Regency Pictures', u'id': 10104}, {u'name': u'Hong Kong Alpha Motion Pictures Co.', u'id': 13796}, {u'name': u'RatPac Entertainment', u'id': 28732}, {u'name': u'M Productions', u'id': 52660}, {u'name': u'Monarchy Enterprises S.a.r.l.', u'id': 77845}]","[{u'iso_3166_1': u'CA', u'name': u'Canada'}, {u'iso_3166_1': u'HK', u'name': u'Hong Kong'}, {u'iso_3166_1': u'TW', u'name': u'Taiwan'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-12-25,532925985,156,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'fr', u'name': u'Français'}]",Released,"(n. One who has returned, as if from the dead.)",The Revenant,False,7.1,3153
tt2379713,False,/wVTYlkKPKrljJfugXN7UlLNjtuJ.jpg,"{u'backdrop_path': u'/dOSECZImeyZldoq0ObieBE0lwie.jpg', u'poster_path': u'/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', u'id': 645, u'name': u'James Bond Collection'}",245000000,"[Action, Adventure, Crime]",http://www.sonypictures.com/movies/spectre/,206647,en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",6.452969,/hE24GYddaxB9MVZl1CaiI86M3kp.jpg,"[{u'name': u'Columbia Pictures', u'id': 5}, {u'name': u'Danjaq', u'id': 10761}, {u'name': u'B24', u'id': 69434}]","[{u'iso_3166_1': u'GB', u'name': u'United Kingdom'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-10-26,880674609,148,"[{u'iso_639_1': u'fr', u'name': u'Français'}, {u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Español'}, {u'iso_639_1': u'it', u'name': u'Italiano'}, {u'iso_639_1': u'de', u'name': u'Deutsch'}]",Released,A Plan No One Escapes,Spectre,False,6.2,2885
tt2293640,False,/uX7LXnsC7bZJZjn048UCOwkPXWJ.jpg,"{u'backdrop_path': u'/15IZl405E664QDVxpFJBl7TtLmw.jpg', u'poster_path': u'/95prV91f4DxkBnLU43YjLbU1m3q.jpg', u'id': 86066, u'name': u'Despicable Me Collection'}",74000000,"[Family, Animation, Adventure, Comedy]",http://www.minionsmovie.com/,211672,en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",7.839636,/q0R4crx2SehcEEQEkYObktdeFy.jpg,"[{u'name': u'Universal Pictures', u'id': 33}, {u'name': u'Illumination Entertainment', u'id': 6704}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2015-06-17,1156730962,91,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,"Before Gru, they had a history of bad bosses",Minions,False,6.6,2645
