tmdb_id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
27205,False,/s2bT29y0ngXxxu2IA8AOzzXTRhd.jpg,"[28, 53, 878, 9648, 12]",en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",5.477878,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,2010-07-14,Inception,False,7.88,8901
10138,False,/jxdSxqAFrdioKgXwgTs5Qfbazjq.jpg,"[12, 28, 878]",en,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.",4.953742,/ArqpkNYGfcTIA6umWt6xihfIZZv.jpg,2010-04-28,Iron Man 2,False,6.62,4587
20352,False,/yo1ef57MEPkEE4BDZKTZGH9uDcX.jpg,"[28, 16, 10751]",en,Despicable Me,"In a happy suburban neighbourhood surrounded by white picket fences with flowering rose bushes, sits a black house with a dead lawn. Unbeknownst to the neighbours, hidden deep beneath this home is a vast secret hideout. Surrounded by an army of tireless, little yellow minions, we discover Gru, planning the biggest heist in the history of the world. He is going to steal the moon (Yes, the moon!) to prove to his Mum that he is better than the other super-villains, especially the new kid on the block, Vector. Gru delights in all things wicked. Armed with his arsenal of shrink rays, freeze guns and battle-ready vehicles for land and air, he vanquishes all who stand in his way. Until the day he encounters the immense will of three little orphaned girls who look at him and see something that no one else has ever seen: a potential dad.",3.782854,/4zHJhBSY4kNZXfhTlmy2TzXD51M.jpg,2010-07-08,Despicable Me,False,7.07,4585
11324,False,/fmLWuAfDPaUa3Vi5nO1YUUyZaX6.jpg,"[18, 53, 9648]",en,Shutter Island,"World War II soldier-turned-U.S. marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his own troubling visions and by Dr. Cawley.",4.059417,/2tZqOGvOT5ad6RNc10CYJ2Ol2ED.jpg,2010-02-18,Shutter Island,False,7.53,3118
12444,False,/8YA36faYlkpfp6aozcGsqq68pZ9.jpg,"[12, 14, 10751]",en,Harry Potter and the Deathly Hallows: Part 1,"The end begins as Harry, Ron, and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",3.842138,/maP4MTfPCeVD2FZbKTLUgriOW4R.jpg,2010-10-17,Harry Potter and the Deathly Hallows: Part 1,False,7.27,3050
10191,False,/nMulOcoR6HAahofkcuo4mtA0o9j.jpg,"[14, 12, 16, 10751]",en,How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father",3.045946,/zMAm3WYmvD40FaWFsOmpicQFabz.jpg,2010-03-05,How to Train Your Dragon,False,7.36,2735
23483,False,/qf59pVUHbY9z0Ke9Jg6HQghNJhM.jpg,"[28, 80]",en,Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",3.786585,/gtfggr5n3ED1neoTqVYmsVCoSS.jpg,2010-03-22,Kick-Ass,False,6.96,2704
10193,False,/y2qAjM37QgatWeG84DDtwsZuMW.jpg,"[16, 10751, 35]",en,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",3.479832,/tOwAAVeL1p3ls9dhOBo45ElodU3.jpg,2010-06-16,Toy Story 3,False,7.49,2668
12155,False,/AmCtBQc5KxJfJVdS2TkY4Pc9lPd.jpg,"[10751, 14, 12]",en,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason--to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",3.389247,/pvEE5EN5N1yjmHmldfL4aJWm56l.jpg,2010-03-03,Alice in Wonderland,False,6.23,2480
44214,False,/eS9RYCLWA031K3x9fDEv8WE45Ti.jpg,"[18, 9648, 53]",en,Black Swan,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",4.072045,/dQ7uxvsVTspVIsqjfgQj8usJpwX.jpg,2010-12-02,Black Swan,False,7.05,2260
