imdb_id,actors,awards,box_office,country,director,dvd,genre,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,response,runtime,title,tomato_consensus,tomato_fresh,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,type,website,writer,year
tt0848228,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Nominated for 1 Oscar. Another 34 wins & 75 nominations.,N/A,USA,Joss Whedon,25 Sep 2012,"Action, Adventure, Sci-Fi",8.1,"991,957","English, Russian",69,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,http://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,04 May 2012,True,143 min,The Avengers,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",291,certified,92,8.0,317,26,91,4.4,1127957,movie,N/A,"Joss Whedon (screenplay), Zak Penn (story), Joss Whedon (story)",2012
tt1853728,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",Won 2 Oscars. Another 53 wins & 143 nominations.,N/A,USA,Quentin Tarantino,16 Apr 2013,"Drama, Western",8.5,"937,301","English, German, Italian, French",81,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",http://ia.media-imdb.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,The Weinstein Co.,R,25 Dec 2012,True,165 min,Django Unchained,"Bold, bloody, and stylistically daring, Django Unchained is another incendiary masterpiece from Quentin Tarantino.",222,certified,88,8.0,253,31,91,4.3,424679,movie,N/A,Quentin Tarantino,2012
tt1392170,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",Nominated for 1 Golden Globe. Another 33 wins & 42 nominations.,N/A,USA,Gary Ross,18 Aug 2012,"Adventure, Drama, Sci-Fi",7.3,"700,507",English,68,"Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games, a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.",http://ia.media-imdb.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_SX300.jpg,Lionsgate,PG-13,23 Mar 2012,True,142 min,The Hunger Games,"Thrilling and superbly acted, The Hunger Games captures the dramatic violence, raw emotion, and ambitious scope of its source novel.",237,certified,84,7.2,281,44,81,4.1,900247,movie,N/A,"Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)",2012
tt1345836,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",Nominated for 1 BAFTA Film Award. Another 38 wins & 96 nominations.,N/A,"USA, UK",Christopher Nolan,03 Dec 2012,"Action, Thriller",8.5,"1,140,135","English, Arabic",78,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,20 Jul 2012,True,164 min,The Dark Knight Rises,"The Dark Knight Rises is an ambitious, thoughtful, and potent action film that concludes Christopher Nolan's franchise in spectacular fashion.",289,certified,87,8.0,333,44,90,4.3,1206456,movie,N/A,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",2012
tt0903624,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",Nominated for 3 Oscars. Another 9 wins & 70 nominations.,N/A,"USA, New Zealand",Peter Jackson,19 Mar 2013,"Adventure, Fantasy",7.9,"635,935",English,58,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",http://ia.media-imdb.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,Warner Bros.,PG-13,14 Dec 2012,True,169 min,The Hobbit: An Unexpected Journey,"Peter Jackson's return to Middle-earth is an earnest, visually resplendent trip, but the film's deliberate pace robs the material of some of its majesty.",177,fresh,64,6.5,275,98,83,4.1,471382,movie,N/A,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)",2012
tt1074638,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes",Won 2 Oscars. Another 64 wins & 115 nominations.,N/A,"UK, USA",Sam Mendes,11 Mar 2013,"Action, Adventure, Thriller",7.8,"521,217",English,81,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",http://ia.media-imdb.com/images/M/MV5BMjAyODkzNDgzMF5BMl5BanBnXkFtZTcwMDMxMDI4Nw@@._V1_SX300.jpg,MGM,PG-13,09 Nov 2012,True,143 min,Skyfall,"Sam Mendes brings Bond surging back with a smart, sexy, riveting action thriller that qualifies as one of the best 007 films to date.",321,certified,93,8.2,347,26,86,4.1,371369,movie,N/A,"Neal Purvis, Robert Wade, John Logan",2012
tt0948470,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",2 wins & 31 nominations.,N/A,USA,Marc Webb,09 Nov 2012,"Action, Adventure, Fantasy",7.0,"450,985",English,66,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",http://ia.media-imdb.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,Sony Pictures,PG-13,03 Jul 2012,True,136 min,The Amazing Spider-Man,"A well-chosen cast and sure-handed direction allow The Amazing Spider-Man to thrill, despite revisiting many of the same plot points from 2002's Spider-Man.",222,certified,73,6.7,306,84,77,3.9,812851,movie,N/A,"James Vanderbilt (screenplay), Alvin Sargent (screenplay), Steve Kloves (screenplay), James Vanderbilt (story), Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by)",2012
tt0454876,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur",Won 4 Oscars. Another 76 wins & 125 nominations.,N/A,"USA, Taiwan, UK",Ang Lee,12 Mar 2013,"Adventure, Drama, Fantasy",8.0,"438,573","English, Tamil, French, Japanese, Hindi, Chinese",79,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",http://ia.media-imdb.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,20th Century Fox,PG,21 Nov 2012,True,127 min,Life of Pi,"A 3D adaptation of a supposedly ""unfilmable"" book, Ang Lee's Life of Pi achieves the near impossible -- it's an astonishing technical achievement that's also emotionally rewarding.",201,certified,87,7.9,232,31,84,4.1,167765,movie,N/A,"Yann Martel (novel), David Magee (screenplay)",2012
tt1446714,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba",Nominated for 1 Oscar. Another 6 wins & 42 nominations.,N/A,"USA, UK",Ridley Scott,09 Oct 2012,"Adventure, Mystery, Sci-Fi",7.0,"453,505","English, Scottish Gaelic",65,Following clues to the origin of mankind a team journey across the universe and find a structure on a distant planet containing a monolithic statue of a humanoid head and stone cylinders of alien blood but they soon find they are not alone.,http://ia.media-imdb.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_SX300.jpg,20th Century Fox,R,08 Jun 2012,True,124 min,Prometheus,"Ridley Scott's ambitious quasi-prequel to Alien may not answer all of its big questions, but it's redeemed by its haunting visual grandeur and compelling performances -- particularly Michael Fassbender as a fastidious android.",198,certified,73,6.9,273,75,68,3.6,259965,movie,N/A,"Jon Spaihts, Damon Lindelof, Dan O'Bannon (elements), Ronald Shusett (elements)",2012
tt1772341,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch",Nominated for 1 Oscar. Another 33 wins & 40 nominations.,N/A,USA,Rich Moore,05 Mar 2013,"Animation, Adventure, Comedy",7.8,"271,932",English,72,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",http://ia.media-imdb.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_SX300.jpg,Walt Disney Pictures,PG,02 Nov 2012,True,101 min,Wreck-It Ralph,"Equally entertaining for both kids and parents old enough to catch the references, Wreck-It Ralph is a clever, colorful adventure built on familiar themes and joyful nostalgia.",147,certified,87,7.5,170,23,86,4.1,236739,movie,N/A,"Rich Moore (story by), Phil Johnston (story by), Jim Reardon (story by), Phil Johnston (screenplay), Jennifer Lee (screenplay), John C. Reilly (additional story material by), Sam Levine (additional story material by), Jared Stern (additional story material by)",2012
tt1276104,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",15 wins & 44 nominations.,N/A,"USA, China",Rian Johnson,31 Dec 2012,"Action, Crime, Drama",7.4,"424,751","English, French",84,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",http://ia.media-imdb.com/images/M/MV5BMTY3NTY0MjEwNV5BMl5BanBnXkFtZTcwNTE3NDA1OA@@._V1_SX300.jpg,Sony Pictures,R,28 Sep 2012,True,119 min,Looper,"As thought-provoking as it is thrilling, Looper delivers an uncommonly smart, bravely original blend of futuristic sci-fi and good old-fashioned action.",232,certified,93,8.1,249,17,82,4.0,177431,movie,N/A,Rian Johnson,2012
