imdb_id,actors,awards,box_office,country,director,dvd,genre,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,response,runtime,title,tomato_consensus,tomato_fresh,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,type,website,writer,year
tt0458339,"Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones",3 wins & 42 nominations.,N/A,USA,Joe Johnston,25 Oct 2011,"Action, Adventure, Sci-Fi",6.9,"502,898","English, Norwegian, French",66,"Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",http://ia.media-imdb.com/images/M/MV5BMTYzOTc2NzU3N15BMl5BanBnXkFtZTcwNjY3MDE3NQ@@._V1_SX300.jpg,Paramount Pictures,PG-13,22 Jul 2011,True,124 min,Captain America: The First Avenger,"With plenty of pulpy action, a pleasantly retro vibe, and a handful of fine performances, Captain America is solidly old-fashioned blockbuster entertainment.",194,certified,80,6.9,244,50,74,3.7,182998,movie,N/A,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (comic books), Jack Kirby (comic books)",2011
tt0800369,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",5 wins & 29 nominations.,N/A,USA,Kenneth Branagh,13 Sep 2011,"Action, Adventure, Fantasy",7.0,"534,294",English,57,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",http://ia.media-imdb.com/images/M/MV5BMTYxMjA5NDMzNV5BMl5BanBnXkFtZTcwOTk2Mjk3NA@@._V1_SX300.jpg,Paramount Pictures,PG-13,06 May 2011,True,115 min,Thor,"A dazzling blockbuster that tempers its sweeping scope with wit, humor, and human drama, Thor is mighty Marvel entertainment.",204,certified,77,6.7,266,62,76,3.8,242186,movie,N/A,"Ashley Miller (screenplay), Zack Stentz (screenplay), Don Payne (screenplay), J. Michael Straczynski (story), Mark Protosevich (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)",2011
tt1270798,"James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner",20 wins & 35 nominations.,N/A,"USA, UK",Matthew Vaughn,09 Sep 2011,"Action, Adventure, Sci-Fi",7.8,"514,296","English, German, French, Spanish, Russian",65,"In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.",http://ia.media-imdb.com/images/M/MV5BMTg5OTMxNzk4Nl5BMl5BanBnXkFtZTcwOTk1MjAwNQ@@._V1_SX300.jpg,20th Century Fox,PG-13,03 Jun 2011,True,132 min,X-Men: First Class,"With a strong script, stylish direction, and powerful performances from its well-rounded cast, X-Men: First Class is a welcome return to form for the franchise.",235,certified,87,7.4,272,37,87,4.0,181733,movie,N/A,"Ashley Miller (screenplay), Zack Stentz (screenplay), Jane Goldman (screenplay), Matthew Vaughn (screenplay), Sheldon Turner (story), Bryan Singer (story)",2011
tt1201607,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",Nominated for 3 Oscars. Another 46 wins & 87 nominations.,N/A,"USA, UK",David Yates,11 Nov 2011,"Adventure, Drama, Fantasy",8.1,"540,933",English,87,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",http://ia.media-imdb.com/images/M/MV5BMTY2MTk3MDQ1N15BMl5BanBnXkFtZTcwMzI4NzA2NQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,15 Jul 2011,True,130 min,Harry Potter and the Deathly Hallows: Part 2,"Thrilling, powerfully acted, and visually dazzling, Deathly Hallows Part II brings the Harry Potter franchise to a satisfying -- and suitably magical -- conclusion.",296,certified,96,8.3,309,13,89,4.3,387341,movie,N/A,"Steve Kloves (screenplay), J.K. Rowling (novel)",2011
tt1298650,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane",2 wins & 30 nominations.,N/A,"USA, UK",Rob Marshall,18 Oct 2011,"Action, Adventure, Fantasy",6.7,"370,000","English, Spanish",45,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",http://ia.media-imdb.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,20 May 2011,True,136 min,Pirates of the Caribbean: On Stranger Tides,"It's shorter and leaner than the previous sequel, but this Pirates runs aground on a disjointed plot and a non-stop barrage of noisy action sequences.",84,rotten,32,5.0,259,175,54,3.5,197939,movie,N/A,"Ted Elliott (screenplay), Terry Rossio (screenplay), Ted Elliott (screen story), Terry Rossio (screen story), Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters), Tim Powers (novel)",2011
tt1229238,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner",5 wins & 31 nominations.,N/A,"USA, United Arab Emirates, Czech Republic",Brad Bird,17 Apr 2012,"Action, Adventure, Thriller",7.4,"364,202","English, Russian, French, Arabic, Swedish",73,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",http://ia.media-imdb.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX300.jpg,Paramount Studios,PG-13,21 Dec 2011,True,133 min,Mission: Impossible - Ghost Protocol,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.",216,certified,94,7.7,231,15,76,3.9,471571,movie,N/A,"Bruce Geller (television series ""Mission: Impossible""), Josh Appelbaum, André Nemec",2011
tt1675434,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",Nominated for 1 Golden Globe. Another 32 wins & 39 nominations.,N/A,France,"Olivier Nakache, Eric Toledano",05 Mar 2013,"Biography, Comedy, Drama",8.6,"497,387","French, English",57,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",http://ia.media-imdb.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX300.jpg,The Weinstein Company,R,02 Nov 2011,True,112 min,The Intouchables,"It handles its potentially prickly subject matter with kid gloves, but Intouchables gets by thanks to its strong cast and some remarkably sensitive direction.",89,certified,74,6.7,120,31,93,4.3,44155,movie,N/A,"Olivier Nakache, Eric Toledano",2011
tt1515091,"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams",2 wins & 11 nominations.,N/A,USA,Guy Ritchie,12 Jun 2012,"Action, Adventure, Crime",7.5,"337,871","English, French, Italian, German, Romany",48,"Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.",http://ia.media-imdb.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,16 Dec 2011,True,129 min,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows is a good yarn thanks to its well-matched leading men but overall stumbles duplicating the well-oiled thrills of the original.,122,fresh,60,6.0,205,83,77,3.9,167451,movie,N/A,"Michele Mulroney, Kieran Mulroney, Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)",2011
tt1411697,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",5 wins & 16 nominations.,N/A,USA,Todd Phillips,06 Dec 2011,Comedy,6.5,"375,265","English, Thai",44,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",http://ia.media-imdb.com/images/M/MV5BMTM2MTM4MzY2OV5BMl5BanBnXkFtZTcwNjQ3NzI4NA@@._V1_SX300.jpg,Warner Bros. Pictures,R,26 May 2011,True,102 min,The Hangover Part II,"A crueler, darker, raunchier carbon copy of the first installment, The Hangover Part II lacks the element of surprise -- and most of the joy -- that helped make the original a hit.",78,rotten,33,4.9,233,155,52,3.4,195478,movie,N/A,"Craig Mazin, Scot Armstrong, Todd Phillips, Jon Lucas (characters), Scott Moore (characters)",2011
tt1318514,"Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings",Nominated for 1 Oscar. Another 20 wins & 41 nominations.,N/A,USA,Rupert Wyatt,13 Dec 2011,"Action, Drama, Sci-Fi",7.6,"399,342","English, Sign Languages",68,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",http://ia.media-imdb.com/images/M/MV5BMTQyMjUxNTc0Ml5BMl5BanBnXkFtZTcwMjg1ODExNg@@._V1_SX300.jpg,20th Century Fox,PG-13,05 Aug 2011,True,105 min,Rise of the Planet of the Apes,"Led by Rupert Wyatt's stylish direction, some impressive special effects, and a mesmerizing performance by Andy Serkis, Rise of the Planet of the Apes breathes unlikely new life into a long-running franchise.",204,certified,82,7.1,250,46,77,4.0,446783,movie,N/A,"Rick Jaffa, Amanda Silver, Pierre Boulle (novel)",2011
